Date,Age Group,Race/Ethnicity,Population Size,1st Dose,1st Dose Percent,Vaccine Series Completed,Vaccine Series Completed Percent,Boosted,Boosted Percent,Bivalent,Bivalent Percent
2/13/21,11-May,"Other, non-Latinx",6225,0,0,0,0,0,0,0,0
2/13/21,11-May,"White, non-Latinx",43777,0,0,0,0,0,0,0,0
2/13/21,11-May,"Black, non-Latinx",66458,0,0,0,0,0,0,0,0
2/13/21,17-Dec,"White, non-Latinx",35643,59,0.2,7,0,0,0,0,0
2/13/21,11-May,Latinx,83432,0,0,0,0,0,0,0,0
2/13/21,17-Dec,Unknown,,5,,1,,0,,0,
2/13/21,11-May,"Asian, non-Latinx",10651,0,0,0,0,0,0,0,0
2/13/21,17-Dec,Latinx,76627,43,0.1,5,0,0,0,0,0
2/13/21,17-Dec,"Other, non-Latinx",3047,4,0.1,1,0,0,0,0,0
2/13/21,50-64,"Asian, non-Latinx",27117,3355,12.4,1644,6.1,0,0,0,0
2/20/21,18-29,"Other, non-Latinx",11506,1675,14.6,990,8.6,0,0,0,0
2/20/21,50-64,"Asian, non-Latinx",27117,3812,14.1,1928,7.1,0,0,0,0
2/20/21,0-4,Latinx,54903,0,0,0,0,0,0,0,0
2/20/21,0-4,"Black, non-Latinx",47946,0,0,0,0,0,0,0,0
2/20/21,0-4,"White, non-Latinx",42995,0,0,0,0,0,0,0,0
2/20/21,0-4,"Asian, non-Latinx",9998,0,0,0,0,0,0,0,0
2/20/21,0-4,"Other, non-Latinx",6925,0,0,0,0,0,0,0,0
2/20/21,0-4,Unknown,,0,,0,,0,,0,
2/20/21,0-4,All,162797,0,0,0,0,0,0,0,0
2/20/21,50-64,Unknown,,2238,,1062,,0,,0,
2/20/21,65+,"Other, non-Latinx",3206,2417,75.4,856,26.7,0,0,0,0
2/20/21,50-64,Latinx,114048,14636,12.8,3795,3.3,0,0,0,0
2/20/21,18-29,Unknown,,2765,,1822,,0,,0,
2/20/21,30-49,Unknown,,4947,,2956,,0,,0,
2/20/21,30-49,"Asian, non-Latinx",64910,9385,14.5,5975,9.2,0,0,0,0
2/20/21,50-64,"White, non-Latinx",149921,22452,15,10225,6.8,0,0,0,0
2/20/21,50-64,All,439599,60718,13.8,24336,5.5,0,0,0,0
2/20/21,30-49,Latinx,226340,22174,9.8,7863,3.5,0,0,0,0
2/20/21,65+,All,362629,112983,31.2,35917,9.9,0,0,0,0
2/20/21,18-29,"Black, non-Latinx",139472,3644,2.6,1596,1.1,0,0,0,0
2/20/21,18-29,All,526788,45632,8.7,24535,4.7,0,0,0,0
2/20/21,18-29,"White, non-Latinx",187581,22031,11.7,12418,6.6,0,0,0,0
2/20/21,30-49,"Black, non-Latinx",197825,12989,6.6,5796,2.9,0,0,0,0
2/20/21,30-49,All,809519,98733,12.2,47022,5.8,0,0,0,0
2/20/21,30-49,"White, non-Latinx",310259,46134,14.9,22702,7.3,0,0,0,0
2/20/21,50-64,"Other, non-Latinx",3063,1445,47.2,670,21.9,0,0,0,0
2/20/21,65+,"Black, non-Latinx",125967,31246,24.8,10525,8.4,0,0,0,0
2/20/21,65+,Unknown,,2742,,655,,0,,0,
2/20/21,18-29,"Asian, non-Latinx",41068,5010,12.2,3344,8.1,0,0,0,0
2/20/21,18-29,Latinx,147161,10507,7.1,4365,3,0,0,0,0
2/20/21,65+,"Asian, non-Latinx",26955,6787,25.2,1795,6.7,0,0,0,0
2/20/21,65+,"White, non-Latinx",135462,48571,35.9,17585,13,0,0,0,0
2/20/21,65+,Latinx,71039,21220,29.9,4501,6.3,0,0,0,0
2/20/21,50-64,"Black, non-Latinx",145449,16135,11.1,6656,4.6,0,0,0,0
2/20/21,30-49,"Other, non-Latinx",10186,3104,30.5,1730,17,0,0,0,0
2/20/21,17-Dec,"Asian, non-Latinx",8804,31,0.4,9,0.1,0,0,0,0
2/20/21,17-Dec,"Black, non-Latinx",57964,38,0.1,11,0,0,0,0,0
2/20/21,17-Dec,All,180859,214,0.1,53,0,0,0,0,0
2/20/21,17-Dec,Unknown,,8,,1,,0,,0,
2/20/21,17-Dec,"White, non-Latinx",35643,76,0.2,17,0,0,0,0,0
2/20/21,11-May,"Asian, non-Latinx",10651,0,0,0,0,0,0,0,0
2/20/21,17-Dec,"Other, non-Latinx",3047,7,0.2,2,0.1,0,0,0,0
2/20/21,11-May,"Black, non-Latinx",66458,0,0,0,0,0,0,0,0
2/20/21,11-May,"White, non-Latinx",43777,0,0,0,0,0,0,0,0
2/20/21,11-May,All,210448,0,0,0,0,0,0,0,0
2/20/21,11-May,Latinx,83432,0,0,0,0,0,0,0,0
2/20/21,11-May,"Other, non-Latinx",6225,0,0,0,0,0,0,0,0
